,open,high,low,close,volume
2025-12-01 00:00:00,94782.08326148946,94997.88130718742,94725.1583663988,94876.96022171117,158.9915203569936
2025-12-01 01:00:00,94876.96022171117,94901.75364394159,94492.91419047548,94576.57077874147,480.8755081349684
2025-12-01 02:00:00,94576.57077874147,95282.97966648362,94496.9739479269,95035.77109015835,217.21901613113786
2025-12-01 03:00:00,95035.77109015835,95144.30092475897,94686.63715006955,94917.01308426881,483.60699509205256
2025-12-01 04:00:00,94917.01308426881,95473.35257688243,94765.66950398141,95307.41378605612,181.83044729803876
2025-12-01 05:00:00,95307.41378605612,95463.1432392036,94840.76815357264,94953.64803413769,384.9468620090936
2025-12-01 06:00:00,94953.64803413769,95036.65827507093,94490.87154578808,94606.91226624785,216.6662611590076
2025-12-01 07:00:00,94606.91226624785,94840.49256289,94328.80194825845,94363.42340616426,88.43277827286991
2025-12-01 08:00:00,94363.42340616426,95171.91700978506,94300.41289770055,94966.47620148963,221.6648728632279
2025-12-01 09:00:00,94966.47620148963,95063.11787654877,94606.78064058133,94676.47243566168,441.5593235354798
2025-12-01 10:00:00,94676.47243566168,94952.85501880599,94462.11571426525,94720.63092402782,420.1440241730447
2025-12-01 11:00:00,94720.63092402782,94807.64815249023,94419.74661912234,94543.77774604718,536.9573064416207
2025-12-01 12:00:00,94543.77774604718,94617.7802968452,93906.29726251605,94123.82237687327,442.44938117991177
2025-12-01 13:00:00,94123.82237687327,95094.17437328497,94117.37146366683,94925.25705314711,229.8527150982531
2025-12-01 14:00:00,94925.25705314711,95065.29299886912,94586.22527202769,94779.98256840106,628.1397650521815
2025-12-01 15:00:00,94779.98256840106,94791.90221763894,94523.53135428572,94681.52637731869,358.6349914059327
2025-12-01 16:00:00,94681.52637731869,94841.69463883979,94465.64735009488,94782.83716887522,339.05293614778213
2025-12-01 17:00:00,94782.83716887522,94817.39968369607,94106.25016232383,94216.95663268158,444.09621162671186
2025-12-01 18:00:00,94216.95663268158,95177.52481358156,94163.0751502148,95105.02414095559,503.36427881884504
2025-12-01 19:00:00,95105.02414095559,95176.5154055968,94287.55466010694,94432.53497812575,392.4369453783303
2025-12-01 20:00:00,94432.53497812575,94726.33085971551,94192.45972310762,94601.36496215437,335.9302664480209
2025-12-01 21:00:00,94601.36496215437,94698.93153897466,94565.88099323594,94687.48989401323,604.575120365041
2025-12-01 22:00:00,94687.48989401323,94785.81794752213,93622.23176795915,93680.67970106078,671.5372842063298
2025-12-01 23:00:00,93680.67970106078,95081.43288056487,93489.10709735905,94904.34928347035,510.3347519611651
2025-12-02 00:00:00,94904.34928347035,95104.92805036166,94143.55116428471,94422.75347317157,367.4928053120992
2025-12-02 01:00:00,94422.75347317157,94520.73541163295,93801.99301115365,93902.9296797635,346.2699677575578
2025-12-02 02:00:00,93902.9296797635,94426.3678252283,93898.27261762928,94259.18021728177,168.79101898771836
2025-12-02 03:00:00,94259.18021728177,95201.43654458558,94167.55542871056,95111.59247300468,980.4602796646539
2025-12-02 04:00:00,95111.59247300468,95198.22329503055,94166.18517198507,94249.1473375024,246.7197229832428
2025-12-02 05:00:00,94249.1473375024,94340.39933066048,93861.91155948641,93891.76889331406,587.1705318416116
2025-12-02 06:00:00,93891.76889331406,94388.4420317403,93816.94226765473,94225.9506313079,560.7988839219745
2025-12-02 07:00:00,94225.9506313079,94639.49368829568,94132.7595167134,94359.70638683875,395.35456414798
2025-12-02 08:00:00,94359.70638683875,94491.34086529413,93956.47301715678,94053.67498689315,917.4441992892321
2025-12-02 09:00:00,94053.67498689315,94144.21158650806,93872.28726763804,94037.09370700698,284.7355025694747
2025-12-02 10:00:00,94037.09370700698,94578.57229622497,93949.77122345052,94519.81827698858,413.63799479908704
2025-12-02 11:00:00,94519.81827698858,94656.1426342355,94098.75047116814,94400.35930838517,251.26874806457295
2025-12-02 12:00:00,94400.35930838517,94500.88660741878,94052.16911461014,94142.07800389045,222.8739604193043
2025-12-02 13:00:00,94142.07800389045,94262.69393294846,93869.02403655047,94103.28169490502,256.29982382007074
2025-12-02 14:00:00,94103.28169490502,94174.63686716836,93845.66102572078,94143.2805665379,1197.1661759589765
2025-12-02 15:00:00,94143.2805665379,94317.17884478711,93868.63237561657,93958.97549210957,884.1741055550316
2025-12-02 16:00:00,93958.97549210957,94220.1845122111,93726.63983242877,94057.91489151778,172.89230177107663
2025-12-02 17:00:00,94057.91489151778,94153.00879041987,93991.64550472182,94078.90762978343,606.5540083080887
2025-12-02 18:00:00,94078.90762978343,94461.38248321725,93904.21512499354,94436.69434230373,334.51872046798763
2025-12-02 19:00:00,94436.69434230373,94550.25089570852,93421.91879380995,93671.11876459855,275.88077652735035
2025-12-02 20:00:00,93671.11876459855,94485.06172466687,93666.22336592773,94245.15115677402,317.6760972573508
2025-12-02 21:00:00,94245.15115677402,94505.9046423255,94183.8987175392,94431.83803727674,1024.9597090980549
2025-12-02 22:00:00,94431.83803727674,94558.14196167183,93694.62366144762,93699.15187499074,535.4161852165502
2025-12-02 23:00:00,93699.15187499074,94105.47678199352,93641.64530159628,93973.52396698418,287.4680560980411
2025-12-03 00:00:00,93973.52396698418,94640.6950276878,93972.46593190245,93972.67130559449,285.65213910334495
2025-12-03 01:00:00,93972.67130559449,94047.06852127876,93822.01147927908,93836.80768234466,275.233204033209
2025-12-03 02:00:00,93836.80768234466,93868.30494852849,93570.16571322602,93728.71076618398,304.65083693981023
2025-12-03 03:00:00,93728.71076618398,93782.60817661,93439.34158118055,93562.9642495739,658.4431818234739
2025-12-03 04:00:00,93562.9642495739,93684.20121389278,93158.78020104537,93202.95369295037,695.2641328375488
2025-12-03 05:00:00,93202.95369295037,94071.85032010131,92995.33571825149,93968.48310227167,727.2243227119629
2025-12-03 06:00:00,93968.48310227167,94088.83711994131,92764.1223618277,92867.57908288795,261.22196245390944
2025-12-03 07:00:00,92867.57908288795,94056.53290998768,92718.77108392147,93913.32518273366,487.86046508872505
2025-12-03 08:00:00,93913.32518273366,94259.04062788034,93802.11308449246,94008.97636408985,585.0900680179519
2025-12-03 09:00:00,94008.97636408985,94206.59728672111,93298.43541456583,93443.05330016659,300.9716342734263
2025-12-03 10:00:00,93443.05330016659,93939.14560389126,93266.44147704206,93873.74631596782,415.26988845214527
2025-12-03 11:00:00,93873.74631596782,94013.1480959466,93768.01740109612,93898.6336186619,482.20169045377855
2025-12-03 12:00:00,93898.6336186619,93949.10692345182,93812.20983302941,93881.17487336606,742.2523704289972
2025-12-03 13:00:00,93881.17487336606,94075.06687513166,93196.61213385971,93537.38494520423,161.684816829617
2025-12-03 14:00:00,93537.38494520423,93761.56140286912,93425.89197701178,93743.22934011296,671.963012122487
2025-12-03 15:00:00,93743.22934011296,93768.08976541377,93598.74896078237,93684.34851413821,232.19724405928687
2025-12-03 16:00:00,93684.34851413821,93827.24751043507,93184.243437879,93383.46718296691,304.8498678498461
2025-12-03 17:00:00,93383.46718296691,93467.98580218316,93197.54915606588,93445.34097734909,225.5653751317953
2025-12-03 18:00:00,93445.34097734909,93772.68132366605,93346.87310461306,93758.51567112465,541.9960217584687
2025-12-03 19:00:00,93758.51567112465,93820.08126710614,93396.36798099619,93407.79985611077,551.9025416523709
2025-12-03 20:00:00,93407.79985611077,93685.41926425048,93370.55778015839,93669.20042022294,256.955721918527
2025-12-03 21:00:00,93669.20042022294,93678.82320055975,93422.09814953907,93552.75496129598,325.0992314475158
2025-12-03 22:00:00,93552.75496129598,93596.81609042645,93425.20531032873,93444.0386483482,390.23451226429205
2025-12-03 23:00:00,93444.0386483482,93680.12465909231,93180.1618153005,93525.59287421028,336.814456011137
2025-12-04 00:00:00,93525.59287421028,93666.9892171923,93501.7748247658,93572.95339758007,413.2047748195805
2025-12-04 01:00:00,93572.95339758007,93934.25361717514,93410.13360800897,93481.52045829817,249.63590465642025
2025-12-04 02:00:00,93481.52045829817,93512.328574907,93472.15880743648,93496.68343893647,462.0893861190391
2025-12-04 03:00:00,93496.68343893647,93836.97622186912,93196.42052283292,93623.53124495473,250.70333142176128
2025-12-04 04:00:00,93623.53124495473,93744.01834546389,93139.22463986947,93367.91881360924,555.203984187295
2025-12-04 05:00:00,93367.91881360924,93528.31703764827,93236.59080118149,93458.62619843862,903.3992306094792
2025-12-04 06:00:00,93458.62619843862,93482.49739549587,93193.45953223207,93329.99844334194,454.8331456423179
2025-12-04 07:00:00,93329.99844334194,93502.24956471763,93122.8074495881,93484.02534184826,150.24740656077662
2025-12-04 08:00:00,93484.02534184826,93538.99129389234,93266.53011785794,93321.11425584453,319.29973369631017
2025-12-04 09:00:00,93321.11425584453,93684.90695952515,93065.80431891818,93539.76308226494,378.5141963044925
2025-12-04 10:00:00,93539.76308226494,93678.53037142284,93514.31753514112,93635.34614638441,527.0937586858996
2025-12-04 11:00:00,93635.34614638441,93718.30414407828,92887.57261135674,92919.59372635066,369.97394874849306
2025-12-04 12:00:00,92919.59372635066,93775.78009370294,92869.40470482023,93686.61651089213,367.1814908063214
2025-12-04 13:00:00,93686.61651089213,93892.85434118372,93578.00755393856,93612.1682859426,152.2212997594451
2025-12-04 14:00:00,93612.1682859426,93685.46670323097,93006.99526939617,93048.178199285,223.70884541104456
2025-12-04 15:00:00,93048.178199285,93928.85631728427,93009.76622816199,93921.98284597383,253.91909872545028
2025-12-04 16:00:00,93921.98284597383,94045.97221830364,93077.91770014048,93302.82077707787,613.9015925697241
2025-12-04 17:00:00,93302.82077707787,93661.88288830787,93230.10707635457,93369.95579643486,608.4956483177339
2025-12-04 18:00:00,93369.95579643486,93688.69993072572,93238.72955277289,93685.57414192325,532.2874244831274
2025-12-04 19:00:00,93685.57414192325,93866.57672790585,92993.44227124963,93019.52072014214,524.2158799455023
2025-12-04 20:00:00,93019.52072014214,93046.6361457224,92623.93884838196,92871.64190427525,1383.9679665485137
2025-12-04 21:00:00,92871.64190427525,93116.59639277232,92661.37249445211,93076.11860039766,379.79747104794654
2025-12-04 22:00:00,93076.11860039766,93300.72106183476,92911.84880876126,93202.88454628659,393.23453001368256
2025-12-04 23:00:00,93202.88454628659,93337.72039928223,93163.42450142605,93250.63445649872,284.0015085799888
2025-12-05 00:00:00,93250.63445649872,93411.12270327804,92985.02740095601,93324.25736174837,414.18235801012094
2025-12-05 01:00:00,93324.25736174837,93595.27390544655,93043.24937846421,93588.9167344506,325.1751382242637
2025-12-05 02:00:00,93588.9167344506,93655.61659509131,92612.41486385636,92884.24513662522,445.8787615965693
2025-12-05 03:00:00,92884.24513662522,93191.6910582975,92491.24242807408,92749.26399525872,479.37037213077446
2025-12-05 04:00:00,92749.26399525872,93191.60135213063,92698.05260811903,93163.44323538327,434.2682165967589
2025-12-05 05:00:00,93163.44323538327,93200.6371260901,92965.04130846425,93055.1615550445,303.0447860880711
